"election_id","enp","largest_party_share","election_date","country","gov_start","election_date_cab","days_to_form","log_days","year"
453,2.14582041867341,0.536666666666667,1985-06-02,"GRC",1985-06-05,1985-06-02,3,1.38629436111989,1985
456,2.26200607902736,0.491803278688525,1983-04-24,"AUT",1983-05-24,1983-04-24,30,3.43398720448515,1983
458,4.21387283236994,0.333333333333333,1984-06-17,"ITA",NA,NA,NA,NA,1984
464,5.64997354963851,0.29608938547486,1975-01-09,"DNK",1975-02-13,1975-01-09,35,3.58351893845611,1975
466,2.62482501166589,0.506666666666667,2007-09-16,"GRC",2007-10-01,2007-09-16,15,2.77258872223978,2007
472,4.19266118205914,0.39541547277937,1991-09-15,"SWE",1991-10-03,1991-09-15,18,2.94443897916644,1991
473,3.48152065170787,0.441260744985673,1979-09-16,"SWE",1979-10-11,1979-09-16,25,3.25809653802148,1979
474,3.57142857142857,0.45,1989-06-18,"ESP",NA,NA,NA,NA,1989
475,2.20880577234575,0.526666666666667,2000-04-09,"GRC",2000-04-13,2000-04-09,4,1.6094379124341,2000
480,2.37119660065255,0.592,1987-07-19,"PRT",1987-08-17,1987-07-19,29,3.40119738166216,1987
482,3.49162011173184,0.36,1999-06-13,"GRC",NA,NA,NA,NA,1999
484,3.16234826073651,0.387550200803213,1983-03-06,"DEU",1983-03-30,1983-03-06,24,3.2188758248682,1983
491,3.8135593220339,0.4,1999-06-13,"IRL",NA,NA,NA,NA,1999
492,3.4071624783803,0.355191256830601,1999-10-03,"AUT",2000-02-04,1999-10-03,124,4.8283137373023,1999
493,2.80770112308045,0.48,1979-03-01,"ESP",1979-04-05,1979-03-01,35,3.58351893845611,1979
498,5.23200632744529,0.307936507936508,2001-05-13,"ITA",2001-06-11,2001-05-13,29,3.40119738166216,2001
499,2.96861485234153,0.490322580645161,1977-09-11,"NOR",1977-09-11,1977-09-11,0,0,1977
500,2.33618124952323,0.482857142857143,2008-03-09,"ESP",2008-04-12,2008-03-09,34,3.55534806148941,2008
502,3.15978027227132,0.415873015873016,1976-06-20,"ITA",1976-07-29,1976-06-20,39,3.68887945411394,1976
504,3.51219512195122,0.375,1989-06-18,"PRT",NA,NA,NA,NA,1989
508,2.32354004234006,0.493333333333333,1989-11-05,"GRC",NA,NA,NA,NA,1989
